SSN,FICO V2 Score,FICO V3 Score,FICO V08 Score,Status
666501279,726,698,694,APPROVED
666290424,662,685,654,APPROVED
666306558,813,802,807,APPROVED
666564762,783,788,764,APPROVED
666223884,9003,9003,9003,APPROVED
666181314,806,795,791,APPROVED
666444663,808,796,771,APPROVED
666662793,791,802,801,APPROVED
666243324,809,831,818,APPROVED
666313254,637,618,642,APPROVED
666508881,749,776,797,APPROVED
666132087,671,667,681,APPROVED
666720153,554,547,598,APPROVED
666403416,837,819,820,APPROVED
666297369,622,661,620,APPROVED
666469632,723,753,678,APPROVED
666469632,9002,9002,9002,APPROVED
666073592,662,641,649,DECLINED
666362135,9003,9003,9003,DECLINED
666381563,487,467,497,DECLINED
666429439,671,665,688,DECLINED
666780924,542,572,547,DECLINED
666748129,597,544,605,DECLINED
666802134,477,450,454,DECLINED
666067018,503,497,532,DECLINED
666140149,9001,9001,9001,DECLINED
666171783,562,502,524,DECLINED
666148510,606,612,668,DECLINED
666157572,9002,9002,9002,DECLINED
666244252,463,467,518,DECLINED
666348024,776,751,804,DECLINED
666385247,732,738,750,DECLINED
666360761,765,761,761,DECLINED
666745355,753,745,798,DECLINED
666404148,723,729,766,DECLINED
666307854,664,686,659,DECLINED
666378081,610,575,524,DECLINED
666384124,648,643,703,DECLINED
666340464,653,635,649,DECLINED
666343840,537,515,542,DECLINED
666343961,547,549,583,DECLINED
666382051,635,628,645,DECLINED
666762935,548,556,583,DECLINED
666749814,600,596,654,DECLINED
666704345,629,599,634,DECLINED
666721270,710,695,750,DECLINED
666748625,514,491,553,DECLINED
666767915,552,543,567,DECLINED
666765680,654,610,646,DECLINED
666825955,632,598,671,DECLINED
666874870,475,445,499,DECLINED
666967967,642,662,669,DECLINED
666841808,697,654,651,DECLINED
666102333,9002,9002,9002,DECLINED
666237311,719,678,708,DECLINED
666252002,788,781,769,DECLINED
666385765,663,653,718,DECLINED
666340541,747,714,774,DECLINED
666427877,499,472,527,DECLINED
666450912,545,537,612,DECLINED
666586860,685,677,688,DECLINED
666523492,545,556,590,DECLINED
666528965,730,702,715,DECLINED
666743986,9003,9003,9003,DECLINED
666054151,9003,9003,9003,DECLINED
666409332,683,667,711,DECLINED
666420042,565,515,603,DECLINED
666445700,706,729,714,DECLINED
666481501,564,547,567,DECLINED
666583342,570,567,611,DECLINED
666547368,644,635,674,DECLINED
666637806,9003,9003,9003,DECLINED
666826200,479,470,462,DECLINED
666027404,532,525,558,DECLINED
666294546,484,494,636,DECLINED
666322623,799,788,836,DECLINED
666335571,551,535,608,DECLINED
666466977,560,535,533,DECLINED
666549044,796,802,820,DECLINED
666529615,553,517,597,DECLINED
666522116,524,519,540,DECLINED
666549099,634,665,660,DECLINED
666746565,507,469,506,DECLINED
666880452,561,547,527,DECLINED
666887006,664,655,692,DECLINED
666482911,9001,9001,9001,DECLINED
666761713,518,485,517,DECLINED
666449305,9002,9002,9002,DECLINED
666426436,701,718,721,DECLINED
666821865,657,654,663,DECLINED
666026757,800,770,834,DECLINED
666209775,639,638,632,DECLINED
666224496,531,554,594,DECLINED
666285216,707,742,780,DECLINED
666348619,789,776,817,DECLINED
666507418,661,630,653,DECLINED
666680932,702,677,647,DECLINED
666665973,675,672,675,DECLINED
666627530,725,704,738,DECLINED
666081165,630,580,629,DECLINED
666881959,635,620,642,DECLINED
666308952,788,786,830,DECLINED
666356701,482,490,585,DECLINED
666665109,526,497,577,DECLINED
666645182,472,434,555,DECLINED
666348347,701,662,641,DECLINED
666323032,696,652,688,DECLINED
666447632,597,589,591,DECLINED
666422035,686,661,750,DECLINED
666517265,747,750,757,DECLINED
666584512,665,634,674,DECLINED
666534529,709,737,748,DECLINED
666514749,583,563,540,DECLINED
666742627,546,528,539,DECLINED
666901930,761,789,723,DECLINED
666608702,737,698,750,DECLINED
666608702,727,754,731,DECLINED
666188951,754,771,765,DECLINED
666162160,524,520,533,DECLINED
666307824,745,734,757,DECLINED
666441984,556,581,585,DECLINED
666483597,506,501,534,DECLINED
666481497,583,606,672,DECLINED
666460510,653,665,651,DECLINED
666366625,687,657,720,DECLINED
666309616,668,671,670,DECLINED
666980410,635,620,651,DECLINED
666981605,690,684,663,DECLINED
666290925,652,633,634,DECLINED
666484539,552,545,562,DECLINED
666466343,635,613,647,DECLINED
666442905,727,707,761,DECLINED
666542133,630,591,598,DECLINED
666643529,494,498,568,DECLINED
666609742,711,703,721,DECLINED
666664577,526,549,583,DECLINED
666949322,543,529,558,DECLINED
666886687,618,596,592,DECLINED
666583865,531,538,530,DECLINED
666251592,460,446,500,DECLINED
666250520,487,473,514,DECLINED
666381393,567,550,562,DECLINED
666490613,488,508,546,DECLINED
666749682,544,508,562,DECLINED
666795671,645,619,587,DECLINED
666703666,549,549,548,DECLINED
666145210,704,679,670,DECLINED
666587192,671,645,704,DECLINED
666501623,498,489,505,DECLINED
666626022,752,762,771,DECLINED
666620635,9003,9003,9003,DECLINED
666665862,757,776,802,DECLINED
666626652,547,479,487,DECLINED
666602498,555,547,618,DECLINED
666627456,619,661,662,DECLINED
666610060,621,605,609,DECLINED
666687253,9002,9002,9002,DECLINED
666696135,561,554,545,DECLINED
666686651,649,636,656,DECLINED
666623547,639,636,600,DECLINED
666666201,497,489,519,DECLINED
666609682,528,509,551,DECLINED
666626261,684,675,678,DECLINED
666680351,574,549,489,DECLINED
666781328,684,695,677,DECLINED
666888933,9002,9002,9002,DECLINED
666898881,570,542,589,DECLINED
666541466,551,558,626,DECLINED
666849172,619,584,595,DECLINED
666867900,677,689,704,DECLINED
666845965,534,561,603,DECLINED
666969424,506,529,589,DECLINED
666960449,578,593,633,DECLINED
666954060,9003,9003,9003,DECLINED
666903479,612,605,586,DECLINED
666041301,542,519,538,DECLINED
666948270,761,721,748,DECLINED
666082456,544,537,483,DECLINED
666082456,544,537,483,DECLINED
666348199,671,694,658,DECLINED
666302984,728,740,750,DECLINED
666333497,620,604,474,DECLINED
666430689,524,469,498,DECLINED
666466954,473,483,517,DECLINED
666586762,672,693,699,DECLINED
666137682,564,593,662,DECLINED
666427007,791,800,804,DECLINED
666462661,563,553,545,DECLINED
666481019,519,502,577,DECLINED
666503011,629,633,657,DECLINED
666709189,573,553,557,DECLINED
666780611,702,679,688,DECLINED
666051240,559,569,567,DECLINED
666083497,610,568,549,DECLINED
666134124,495,511,595,DECLINED
666343621,758,732,760,DECLINED
666437251,555,538,590,DECLINED
666556387,554,565,560,DECLINED
666707660,485,483,549,DECLINED
666846141,593,607,540,DECLINED
666252448,547,541,581,DECLINED
666607182,618,591,626,DECLINED
666565596,9002,9002,9002,DECLINED
666563977,510,504,533,DECLINED
666885741,527,542,570,DECLINED
666233848,9003,9003,9003,DECLINED
666542762,517,541,567,DECLINED
666278673,577,549,543,DECLINED
666345269,583,595,606,DECLINED
666684119,531,506,580,DECLINED
666840898,794,785,765,DECLINED
666089175,637,610,670,DECLINED
666178126,621,628,635,DECLINED
666558560,554,522,556,DECLINED
666568827,627,629,649,DECLINED
666662443,500,481,548,DECLINED
666625524,566,509,487,DECLINED
666748820,467,446,524,DECLINED
666707019,699,682,721,DECLINED
666856116,553,509,572,DECLINED
666626738,678,699,701,DECLINED
666236591,519,514,581,DECLINED
666449919,764,793,792,DECLINED
666157861,535,556,573,DECLINED
666405507,9002,9002,9002,DECLINED
666582899,514,518,546,DECLINED
666481971,631,611,611,DECLINED
666158991,622,627,602,DECLINED
666257898,707,706,701,DECLINED
666791254,608,603,618,DECLINED
666601712,597,599,577,DECLINED
666515008,498,482,503,DECLINED
666190772,588,605,580,DECLINED
666902572,9002,9002,9002,DECLINED
666325476,543,550,554,DECLINED
666793646,553,524,506,DECLINED
666174913,561,533,525,DECLINED
666986384,9002,9002,9002,DECLINED
666299744,546,573,576,DECLINED
666822871,611,602,613,DECLINED
666502265,533,506,572,DECLINED
666580259,571,569,555,DECLINED
666217043,9002,9002,9002,DECLINED
666661021,518,533,586,DECLINED
666433944,517,504,520,DECLINED
666639047,700,716,725,DECLINED
666239052,705,697,715,DECLINED
666568931,497,510,531,DECLINED
666216330,502,527,538,DECLINED
666588750,594,557,558,DECLINED
666424322,699,697,690,DECLINED
666404148,9002,9002,9002,DECLINED
666409155,690,690,683,DECLINED
666888323,610,613,582,DECLINED
666569121,777,757,805,DECLINED
666823910,629,608,651,DECLINED
666466309,565,517,543,DECLINED
666193842,536,561,572,DECLINED
666480216,512,499,526,DECLINED
666760524,541,529,554,DECLINED
666781238,666,674,723,DECLINED
666767251,692,667,704,DECLINED
666562844,755,754,753,DECLINED
666199992,9002,9002,9002,DECLINED
666414977,556,598,535,DECLINED
666195434,584,605,651,DECLINED
666421799,588,548,661,DECLINED
666489496,798,806,775,DECLINED
666518883,594,548,573,DECLINED
666523416,541,500,475,DECLINED
666276958,9002,9002,9002,DECLINED
666336679,534,544,542,DECLINED
666668380,590,607,617,DECLINED
666451099,753,739,717,DECLINED
666336840,600,586,631,DECLINED
666667553,825,822,814,DECLINED
666605448,664,653,672,DECLINED
666707615,534,493,555,DECLINED
666563989,641,652,713,DECLINED
666762161,578,585,596,DECLINED
666380830,723,719,708,DECLINED
666587979,557,582,531,DECLINED
666544624,605,618,611,DECLINED
666562687,631,621,551,DECLINED
666686567,815,812,840,DECLINED
666907348,618,623,595,DECLINED
666445351,565,539,515,DECLINED
666135551,520,517,562,DECLINED
666495813,564,589,616,DECLINED
666406100,824,822,818,DECLINED
666580982,561,517,554,DECLINED
666339901,668,638,661,DECLINED
666516218,581,611,587,DECLINED
666527143,613,553,568,DECLINED
666489496,515,524,545,DECLINED
666881193,712,711,725,DECLINED
666500196,9002,9002,9002,DECLINED
666409155,743,725,753,DECLINED
666509589,733,732,730,DECLINED
666680273,629,607,643,DECLINED
666611350,658,622,639,DECLINED
666385519,788,796,833,DECLINED
666261141,674,603,668,DECLINED
666348866,688,682,714,DECLINED
666904415,574,535,520,DECLINED
666604912,709,735,733,DECLINED
666279213,530,555,584,DECLINED
666411423,657,677,662,DECLINED
666028882,524,530,510,DECLINED
666700006,717,712,732,DECLINED
666544092,603,616,670,DECLINED
666625693,534,522,503,DECLINED
666852462,543,493,479,DECLINED
666960472,589,572,535,DECLINED
666487828,710,689,725,DECLINED
666902715,530,494,551,DECLINED
666145193,597,595,556,DECLINED
666910211,743,705,692,DECLINED
666609509,647,594,537,DECLINED
666667179,498,523,539,DECLINED
666171920,591,589,595,DECLINED
666802323,804,808,820,DECLINED
666880608,529,531,543,DECLINED
666667264,567,552,589,DECLINED
666522088,580,607,629,DECLINED
666234803,581,557,584,DECLINED
666969095,586,575,620,DECLINED
666626311,622,626,569,DECLINED
666508999,627,647,660,DECLINED
666364280,790,781,819,DECLINED
666728475,629,601,593,DECLINED
666805290,695,692,694,DECLINED
666689130,545,521,586,DECLINED
666320603,9002,9002,9002,DECLINED
666542470,9003,9003,9003,DECLINED
666849645,541,553,528,DECLINED
666305248,577,548,593,DECLINED
666548708,9002,9002,9002,DECLINED
666889931,647,644,574,DECLINED
666721776,497,468,508,DECLINED
666742031,556,545,507,DECLINED
666789556,571,561,559,DECLINED
666682654,721,668,708,DECLINED
666588152,9002,9002,9002,DECLINED
666389265,582,556,491,DECLINED
666407496,501,521,574,DECLINED
666960840,536,549,544,DECLINED
666424347,792,790,796,DECLINED
666643039,818,818,797,DECLINED
666386238,632,637,602,DECLINED
666522889,666,651,644,DECLINED
666444799,633,597,575,DECLINED
666503467,706,711,712,DECLINED
666732640,602,617,637,DECLINED
666095232,526,466,524,DECLINED
666346269,713,699,706,DECLINED
666339652,9002,9002,9002,DECLINED
666981460,510,499,487,DECLINED
666481497,528,562,604,DECLINED
666763817,9003,9003,9003,DECLINED
666461584,814,795,849,DECLINED
666942627,609,598,568,DECLINED
666545439,646,629,604,DECLINED
666157290,612,575,593,DECLINED
666520194,503,479,506,DECLINED
666306462,537,503,573,DECLINED
666549636,475,517,563,DECLINED
666215344,587,592,614,DECLINED
666606359,733,755,727,DECLINED
666709189,801,824,803,DECLINED
666502942,589,543,532,DECLINED
666683860,577,563,558,DECLINED
666113301,507,481,515,DECLINED
666503470,608,611,547,DECLINED
666982748,532,485,590,DECLINED
666571347,528,526,535,DECLINED
666923884,599,562,566,DECLINED
666624187,637,626,649,DECLINED
666294438,572,587,535,DECLINED
666457860,547,526,543,DECLINED
666828323,660,671,578,DECLINED
666649338,539,512,564,DECLINED
666385771,620,633,665,DECLINED
666647379,799,813,807,DECLINED
666128553,628,550,562,DECLINED
666288924,520,506,561,DECLINED
666655705,550,507,566,DECLINED
666523416,519,498,545,DECLINED
666424322,689,676,706,DECLINED
666609509,842,830,837,DECLINED
666427199,9002,9002,9002,DECLINED
666527143,751,754,780,DECLINED
666368016,837,777,817,DECLINED
